City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lata,40.1629,-8.3327,12.18,89,86,0.58,PT,1681092990
1,chara,56.9064,118.2631,-8.83,73,100,0.87,RU,1681092402
2,nanortalik,60.1432,-45.2371,-2.55,95,99,2.43,GL,1681092992
3,new norfolk,-42.7826,147.0587,12.18,61,100,1.79,AU,1681092992
4,margate,51.3813,1.3862,12.15,73,100,3.58,GB,1681092993
5,hobart,-42.8794,147.3294,12.37,69,75,9.26,AU,1681092848
6,saint-philippe,-21.3585,55.7679,23.77,85,100,4.43,RE,1681092994
7,puerto ayora,-0.7393,-90.3518,26.97,88,82,0.45,EC,1681092994
8,bluff,-46.6,168.3333,16.18,81,97,6.17,NZ,1681092995
9,mareeba,-17.0,145.4333,32.47,63,58,1.44,AU,1681092996
10,kargasok,59.0556,80.8572,0.41,99,100,4.45,RU,1681092996
11,thinadhoo,0.5333,72.9333,28.19,70,15,2.91,MV,1681092626
12,kamaishi,39.2667,141.8833,13.01,46,90,5.31,JP,1681092997
13,rikitea,-23.1203,-134.9692,25.02,63,0,3.52,PF,1681092998
14,provideniya,64.3833,-173.3,-13.94,43,40,7.0,RU,1681092998
15,jamestown,42.097,-79.2353,5.8,56,0,2.57,US,1681092841
16,atuona,-9.8,-139.0333,27.1,76,19,5.24,PF,1681092999
17,hun,29.1268,15.9477,12.71,49,43,2.47,LY,1681092999
18,bredasdorp,-34.5322,20.0403,14.53,73,57,8.41,ZA,1681092999
19,vaini,-21.2,-175.2,30.09,74,20,3.6,TO,1681093000
20,lebu,-37.6167,-73.65,13.99,79,35,0.82,CL,1681093000
21,tim,51.6222,37.1244,5.11,68,39,2.06,RU,1681093000
22,butaritari,3.0707,172.7902,27.33,77,74,3.61,KI,1681093000
23,east london,-33.0153,27.9116,16.91,80,99,6.53,ZA,1681093001
24,collie,-33.3667,116.15,19.72,56,100,4.67,AU,1681093001
25,cape town,-33.9258,18.4232,14.93,87,75,3.09,ZA,1681092905
26,ushuaia,-54.8,-68.3,2.81,81,40,13.89,AR,1681093001
27,nyurba,63.2842,118.3319,-14.52,88,99,2.02,RU,1681093002
28,sitka,57.0531,-135.33,5.94,70,100,4.63,US,1681093002
29,mae hong son,19.3003,97.9685,30.08,51,3,0.51,TH,1681093002
30,bousso,10.4795,16.7117,31.2,18,100,2.55,TD,1681093002
31,hermanus,-34.4187,19.2345,15.45,76,52,10.28,ZA,1681093003
32,punta arenas,-53.15,-70.9167,4.06,70,40,4.12,CL,1681092222
33,bengkulu,-3.8004,102.2655,26.12,79,86,0.88,ID,1681092722
34,victoria,22.2855,114.1577,24.68,81,30,1.34,HK,1681093004
35,sovetskoye,52.2861,85.4131,2.05,59,99,2.82,RU,1681093004
36,narsaq,60.9167,-46.05,-1.88,89,100,2.07,GL,1681093004
37,cidreira,-30.1811,-50.2056,22.31,85,0,8.24,BR,1681093004
38,mogadishu,2.0371,45.3438,28.1,77,13,5.27,SO,1681093005
39,tura,25.5198,90.2201,28.05,28,0,1.94,IN,1681092798
40,mataura,-46.1927,168.8643,18.25,67,100,2.56,NZ,1681093005
41,denpasar,-8.65,115.2167,28.81,89,40,6.17,ID,1681092392
42,lengshuitan,26.4111,111.5956,21.29,69,94,3.44,CN,1681093006
43,tuktoyaktuk,69.4541,-133.0374,-9.0,86,100,7.2,CA,1681093006
44,arraial do cabo,-22.9661,-42.0278,23.76,71,100,5.46,BR,1681092715
45,mar del plata,-38.0023,-57.5575,20.61,69,0,2.57,AR,1681093007
46,krasnoselkup,65.7,82.4667,-15.08,87,100,5.75,RU,1681093007
47,haapiti,-17.5667,-149.8667,29.85,75,100,6.58,PF,1681093007
48,kapaa,22.0752,-159.319,26.99,85,100,9.26,US,1681093007
49,hilo,19.7297,-155.09,26.08,69,0,3.6,US,1681093008
50,aliganj,27.5,79.1833,26.57,15,2,3.47,IN,1681093008
51,hokitika,-42.7167,170.9667,15.93,86,100,2.37,NZ,1681093008
52,pevek,69.7008,170.3133,-23.19,91,84,0.42,RU,1681093009
53,upernavik,72.7868,-56.1549,-18.32,97,100,6.87,GL,1681093009
54,khuzdar,27.7384,66.6434,20.24,32,32,0.47,PK,1681093009
55,albany,42.6001,-73.9662,6.0,45,3,0.89,US,1681093009
56,yellowknife,62.456,-114.3525,0.04,93,92,3.42,CA,1681092819
57,saskylakh,71.9167,114.0833,-17.73,91,100,4.05,RU,1681093010
58,el monte,34.0686,-118.0276,26.94,51,0,3.09,US,1681093011
59,sayyan,15.1718,44.3244,13.58,70,1,1.65,YE,1681093011
60,dukat,62.55,155.55,-10.64,70,5,2.04,RU,1681093012
61,georgetown,5.4112,100.3354,29.97,78,20,2.06,MY,1681093012
62,laguna,38.421,-121.4238,24.1,39,0,2.06,US,1681092938
63,havoysund,70.9963,24.6622,3.13,87,100,9.31,NO,1681093012
64,surt,31.2089,16.5887,14.4,68,0,3.64,LY,1681093013
65,ponta do sol,32.6667,-17.1,19.45,68,26,2.42,PT,1681093013
66,flin flon,54.7682,-101.865,2.41,98,100,2.77,CA,1681092910
67,itarema,-2.9248,-39.9167,24.9,88,89,2.58,BR,1681092933
68,vestmanna,62.1564,-7.1664,5.51,100,100,9.26,FO,1681093014
69,longyearbyen,78.2186,15.6401,-0.09,86,75,7.2,SJ,1681093014
70,uyuni,-20.4597,-66.825,12.12,37,99,3.57,BO,1681093015
71,brae,60.3964,-1.353,7.14,91,100,11.64,GB,1681093015
72,la asuncion,11.0333,-63.8628,24.78,87,19,7.17,VE,1681092749
73,qaanaaq,77.484,-69.3632,-25.25,72,0,3.01,GL,1681093016
74,alanya,36.5438,31.9998,16.07,77,97,0.76,TR,1681093016
75,olafsvik,64.8945,-23.7142,4.28,93,100,6.91,IS,1681093016
76,ozernovskiy,51.5,156.5167,0.32,99,100,6.37,RU,1681093017
77,espinosa,-14.9261,-42.8192,22.74,71,18,1.89,BR,1681093017
78,sept-iles,50.2001,-66.3821,6.0,61,75,5.14,CA,1681093018
79,port elizabeth,-33.918,25.5701,14.16,69,0,4.12,ZA,1681093018
80,padang,-0.9492,100.3543,28.03,75,88,0.18,ID,1681093018
81,gumdag,39.2061,54.5906,11.01,82,21,3.83,TM,1681093018
82,carnarvon,-24.8667,113.6333,22.85,55,97,6.25,AU,1681093019
83,luderitz,-26.6481,15.1594,13.11,61,19,9.01,NA,1681093019
84,barrow,71.2906,-156.7887,-17.99,71,100,3.6,US,1681093020
85,busselton,-33.65,115.3333,20.12,57,100,7.68,AU,1681092740
86,coquimbo,-29.9533,-71.3436,14.85,94,20,2.06,CL,1681092882
87,lagoa,39.05,-27.9833,15.18,90,4,4.65,PT,1681093020
88,lasa,46.6166,10.7002,2.23,79,24,2.21,IT,1681093020
89,hithadhoo,-0.6,73.0833,27.75,70,5,1.81,MV,1681093021
90,erenhot,43.6475,111.9767,7.09,16,100,7.53,CN,1681093021
91,chokurdakh,70.6333,147.9167,-17.92,83,49,4.77,RU,1681093021
92,kavieng,-2.5744,150.7967,26.9,82,99,4.76,PG,1681093022
93,sorong,-0.8833,131.25,28.27,74,97,1.82,ID,1681093022
94,naze,28.3667,129.4833,18.51,59,25,4.42,JP,1681092952
95,dikson,73.5069,80.5464,-28.5,100,94,3.9,RU,1681093022
96,alofi,-19.0595,-169.9187,27.94,78,5,6.17,NU,1681093023
97,isangel,-19.55,169.2667,32.06,74,40,3.6,VU,1681092745
98,andenes,69.3143,16.1194,0.52,86,35,2.57,NO,1681093023
99,tasiilaq,65.6145,-37.6368,3.09,96,100,13.22,GL,1681093024
100,ilave,-16.0833,-69.6667,5.57,76,100,0.31,PE,1681093024
101,samarai,-10.6167,150.6667,28.69,73,100,2.18,PG,1681093024
102,ribeira grande,38.5167,-28.7,14.32,92,38,1.34,PT,1681093025
103,hami,42.8,93.45,9.91,29,40,9.05,CN,1681093025
104,castro,-24.7911,-50.0119,15.01,98,83,2.74,BR,1681093025
105,clyde river,70.4692,-68.5914,-23.74,81,0,1.72,CA,1681092860
106,leningradskiy,69.3833,178.4167,-17.7,89,100,6.91,RU,1681093026
107,broome,42.2506,-75.833,4.45,61,1,0.89,US,1681093027
108,diffa,13.3154,12.6113,31.16,20,100,3.13,NE,1681093027
109,saint anthony,45.0205,-93.218,16.96,56,100,3.6,US,1681092936
